date,type,value
2020-05-10,SNOW,0.0
2020-05-10,TMAX,8.9
2020-05-10,TMIN,3.3
2020-05-10,PRCP,0.0
2020-05-10,SNWD,0.0
2020-05-11,SNOW,0.0
2020-05-11,TMAX,12.8
2020-05-11,TMIN,3.9
2020-05-11,PRCP,0.0
2020-05-11,SNWD,0.0
2020-05-12,SNOW,0.0
2020-05-12,TMAX,14.4
2020-05-12,TMIN,1.1
2020-05-12,PRCP,0.0
2020-05-12,SNWD,0.0
2020-05-13,SNOW,0.0
2020-05-13,TMAX,17.2
2020-05-13,TMIN,8.9
2020-05-13,PRCP,1.0
2020-05-13,SNWD,0.0
2020-05-14,SNOW,0.0
2020-05-14,TMAX,22.8
2020-05-14,TMIN,11.1
2020-05-14,PRCP,1.0
2020-05-14,SNWD,0.0
2020-05-15,SNOW,0.0
2020-05-15,TMAX,21.7
2020-05-15,TMIN,7.2
2020-05-15,PRCP,0.0
2020-05-15,SNWD,0.0
2020-05-16,SNOW,0.0
2020-05-16,TMAX,17.2
2020-05-16,TMIN,11.1
2020-05-16,PRCP,11.7
2020-05-16,SNWD,0.0
2020-05-17,SNOW,0.0
2020-05-17,TMAX,11.7
2020-05-17,TMIN,9.4
2020-05-17,PRCP,62.7
2020-05-17,SNWD,0.0
2020-05-18,SNOW,0.0
2020-05-18,TMAX,18.9
2020-05-18,TMIN,10.0
2020-05-18,PRCP,0.0
2020-05-18,SNWD,0.0
2020-05-19,SNOW,0.0
2020-05-19,TMAX,21.7
2020-05-19,TMIN,12.2
2020-05-19,PRCP,0.0
2020-05-19,SNWD,0.0
2020-05-20,SNOW,0.0
2020-05-20,TMAX,25.0
2020-05-20,TMIN,15.0
2020-05-20,PRCP,0.0
2020-05-20,SNWD,0.0
2020-05-21,SNOW,0.0
2020-05-21,TMAX,18.9
2020-05-21,TMIN,13.9
2020-05-21,PRCP,0.0
2020-05-21,SNWD,0.0
2020-05-22,SNOW,0.0
2020-05-22,TMAX,18.9
2020-05-22,TMIN,14.4
2020-05-22,PRCP,0.0
2020-05-22,SNWD,0.0
2020-05-23,SNOW,0.0
2020-05-23,TMAX,21.7
2020-05-23,TMIN,15.6
2020-05-23,PRCP,6.1
2020-05-23,SNWD,0.0
2020-05-24,SNOW,0.0
2020-05-24,TMAX,25.6
2020-05-24,TMIN,14.4
2020-05-24,PRCP,0.0
2020-05-24,SNWD,0.0
2020-05-25,SNOW,0.0
2020-05-25,TMAX,25.6
2020-05-25,TMIN,18.3
2020-05-25,PRCP,4.1
2020-05-25,SNWD,0.0
2020-05-26,SNOW,0.0
2020-05-26,TMAX,27.2
2020-05-26,TMIN,18.9
2020-05-26,PRCP,22.1
2020-05-26,SNWD,0.0
2020-05-27,SNOW,0.0
2020-05-27,TMAX,25.6
2020-05-27,TMIN,17.2
2020-05-27,PRCP,10.7
2020-05-27,SNWD,0.0
2020-05-28,SNOW,0.0
2020-05-28,TMAX,26.1
2020-05-28,TMIN,15.6
2020-05-28,PRCP,0.0
2020-05-28,SNWD,0.0
2020-05-29,SNOW,0.0
2020-05-29,TMAX,18.9
2020-05-29,TMIN,12.2
2020-05-29,PRCP,0.0
2020-05-29,SNWD,0.0
2020-05-30,SNOW,0.0
2020-05-30,TMAX,20.0
2020-05-30,TMIN,9.4
2020-05-30,PRCP,0.0
2020-05-30,SNWD,0.0
2020-05-31,SNOW,0.0
2020-05-31,TMAX,25.0
2020-05-31,TMIN,8.3
2020-05-31,PRCP,0.0
2020-05-31,SNWD,0.0
2020-06-01,SNOW,0.0
2020-06-01,TMAX,32.8
2020-06-01,TMIN,17.2
2020-06-01,PRCP,0.0
2020-06-01,SNWD,0.0
2020-06-02,SNOW,0.0
2020-06-02,TMAX,32.2
2020-06-02,TMIN,18.3
2020-06-02,PRCP,6.6
2020-06-02,SNWD,0.0
2020-06-03,SNOW,0.0
2020-06-03,TMAX,28.3
2020-06-03,TMIN,17.2
2020-06-03,PRCP,0.0
2020-06-03,SNWD,0.0
2020-06-04,SNOW,0.0
2020-06-04,TMAX,30.0
2020-06-04,TMIN,16.7
2020-06-04,PRCP,1.0
2020-06-04,SNWD,0.0
2020-06-05,SNOW,0.0
2020-06-05,TMAX,27.2
2020-06-05,TMIN,15.6
2020-06-05,PRCP,8.1
2020-06-05,SNWD,0.0
2020-06-06,SNOW,0.0
2020-06-06,TMAX,25.0
2020-06-06,TMIN,15.6
2020-06-06,PRCP,22.4
2020-06-06,SNWD,0.0
2020-06-07,SNOW,0.0
2020-06-07,TMAX,29.4
2020-06-07,TMIN,16.7
2020-06-07,PRCP,0.0
2020-06-07,SNWD,0.0
2020-06-08,SNOW,0.0
2020-06-08,TMAX,35.6
2020-06-08,TMIN,23.3
2020-06-08,PRCP,0.0
2020-06-08,SNWD,0.0
2020-06-09,SNOW,0.0
2020-06-09,TMAX,28.3
2020-06-09,TMIN,20.0
2020-06-09,PRCP,4.1
2020-06-09,SNWD,0.0
2020-06-10,SNOW,0.0
2020-06-10,TMAX,22.2
2020-06-10,TMIN,15.0
2020-06-10,PRCP,0.0
2020-06-10,SNWD,0.0
2020-06-11,SNOW,0.0
2020-06-11,TMAX,26.1
2020-06-11,TMIN,13.9
2020-06-11,PRCP,0.0
2020-06-11,SNWD,0.0
2020-06-12,SNOW,0.0
2020-06-12,TMAX,24.4
2020-06-12,TMIN,14.4
2020-06-12,PRCP,0.0
2020-06-12,SNWD,0.0
2020-06-13,SNOW,0.0
2020-06-13,TMAX,21.7
2020-06-13,TMIN,11.7
2020-06-13,PRCP,0.0
2020-06-13,SNWD,0.0
2020-06-14,SNOW,0.0
2020-06-14,TMAX,25.6
2020-06-14,TMIN,12.8
2020-06-14,PRCP,0.0
2020-06-14,SNWD,0.0
2020-06-15,SNOW,0.0
2020-06-15,TMAX,31.1
2020-06-15,TMIN,16.7
2020-06-15,PRCP,0.0
2020-06-15,SNWD,0.0
2020-06-16,SNOW,0.0
2020-06-16,TMAX,32.8
2020-06-16,TMIN,19.4
2020-06-16,PRCP,0.0
2020-06-16,SNWD,0.0
2020-06-17,SNOW,0.0
2020-06-17,TMAX,32.2
2020-06-17,TMIN,18.3
2020-06-17,PRCP,0.0
2020-06-17,SNWD,0.0
2020-06-18,SNOW,0.0
2020-06-18,TMAX,30.0
2020-06-18,TMIN,20.0
2020-06-18,PRCP,34.8
2020-06-18,SNWD,0.0
2020-06-19,SNOW,0.0
2020-06-19,TMAX,25.0
2020-06-19,TMIN,17.2
2020-06-19,PRCP,1.0
2020-06-19,SNWD,0.0
2020-06-20,SNOW,0.0
2020-06-20,TMAX,23.9
2020-06-20,TMIN,17.2
2020-06-20,PRCP,0.3
2020-06-20,SNWD,0.0
2020-06-21,SNOW,0.0
2020-06-21,TMAX,28.9
2020-06-21,TMIN,16.7
2020-06-21,PRCP,8.4
2020-06-21,SNWD,0.0
